FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,Carbs,Calories,Fats,Fibre,Protein,Sugars
2478,2478,11,3,"Potato, flesh and skin, baked","Pomme de terre, chair et pelure, cuite au four",1985-01-01,,11674.0,,21.15,93.0,0.13,2.2,2.5,1.18
2479,2479,11,3,"Potato, flesh and skin, cooked in skin, microwaved","Pomme de terre, chair et pelure, cuite au four à micro-ondes avec la pelure",1985-01-01,,11675.0,,24.24,105.0,0.1,2.5,2.44,
2480,2480,11,3,"Broccoli, boiled, drained, with salt","Brocoli, bouilli, égoutté, sel ajouté",1989-01-01,,11742.0,,7.18,35.0,0.41,2.4,2.38,1.39
2481,2481,11,3,"Celery, boiled, drained, with salt","Céleri, bouilli, égoutté, sel ajouté",1989-01-01,,11764.0,,4.0,18.0,0.16,1.4,0.83,2.37
2482,2482,11,3,"Corn, sweet, yellow, frozen, kernels cut off the cob, boiled, drained, with salt","Maïs sucré, jaune, congelé, en grains, bouilli, égoutté, sel ajouté",1995-01-01,,11774.0,,18.71,79.0,0.67,1.9,2.55,3.07
2483,2483,11,3,"Onion, boiled, drained, with salt","Oignon, bouilli, égoutté, sel ajouté",1989-01-01,,11805.0,,9.56,42.0,0.19,1.7,1.36,4.73
2484,2484,11,3,"Pepper, sweet, red, raw","Poivron rouge, cru",1990-01-01,,11821.0,Capsicum annuum,6.03,31.0,0.3,1.4,0.99,4.2
2485,2485,11,3,"Pepper, sweet, green, boiled, drained, with salt","Poivron vert, bouilli, égoutté, sel ajouté",1990-01-01,,11822.0,,6.11,26.0,0.2,2.5,0.92,
2486,2486,11,3,"Pepper, sweet, red, boiled, drained","Poivron rouge, bouilli, égoutté",1989-01-01,,11823.0,,6.7,28.0,0.2,1.5,0.92,4.39
2487,2487,11,3,"Pepper, sweet, red, boiled, drained, with salt","Poivron rouge, bouilli, égoutté, sel ajouté",1989-01-01,,11824.0,,6.11,26.0,0.2,1.5,0.92,4.39
2490,2490,11,3,"Tomato, red, ripe, boiled, with salt","Tomate, rouge, mûre, bouillie, sel ajouté",1989-01-01,,11884.0,,4.01,17.0,0.11,1.5,0.95,2.49
2491,2491,11,3,"Corn, sweet, white, frozen, kernels off cob, unprepared","Maïs sucré, blanc, congelé, grains, non préparé",1995-01-01,,11910.0,,20.73,88.0,0.77,1.9,3.02,9.09
2492,2492,11,3,"Corn, sweet, white, frozen, kernels off cob, boiled, drained","Maïs sucré, blanc, congelé, grains, bouilli, égoutté",1995-01-01,,11911.0,,19.56,80.0,0.43,1.9,2.75,3.12
2493,2493,11,3,"Corn, sweet, white, frozen, kernels off cob, boiled, drained, with salt","Maïs sucré, blanc, congelé, grains, bouilli, égoutté, sel ajouté",1995-01-01,,11912.0,,19.56,80.0,0.43,2.8,2.75,3.12
2494,2494,11,3,Tomato ketchup (catsup),"Tomates, ketchup (catsup)",1989-01-01,,11935.0,,27.4,101.0,0.1,1.7,1.04,21.27
2495,2495,11,3,"Pickles, cucumber, dill (includes Kosher and Polish)","Marinades, cornichons à l'aneth (inclus Cacher et Polonais)",1989-01-01,,11937.0,,2.41,12.0,0.3,1.1,0.5,1.07
2496,2496,11,3,"Pimento, canned","Piments de la Jamaïque, conserve",1989-01-01,,11943.0,,5.1,23.0,0.3,1.3,1.1,2.71
2497,2497,11,3,"Pickles, cucumber, dill, low sodium","Marinades, cornichons à l'aneth, faible en sodium",1989-01-01,,11947.0,,2.41,12.0,0.3,1.1,0.5,1.07
2498,2498,11,3,"Tomato ketchup (catsup), low sodium","Tomates, ketchup (catsup), faible en sodium",1989-01-01,,11949.0,,27.4,101.0,0.1,1.7,1.04,21.27
2499,2499,11,24,"Seaweed, dulse (laver, nori), dried","Algue, dulse (rhodymemie palme, porphyre, nori), séchée",1996-01-01,,,,23.5,217.0,1.75,1.9,36.22,0.49
2500,2500,11,3,"Beets, raw","Betteraves, crues",1994-01-01,,11080.0,Beta vulgaris,9.56,43.0,0.17,1.9,1.61,6.76
2501,2501,11,3,"Beets, boiled, drained","Betteraves, bouillies, égouttées",1994-01-01,,11081.0,,9.96,44.0,0.18,2.0,1.68,7.96
2502,2502,11,3,"Fiddlehead greens (ferns), frozen, unprepared","Crosses de fougères (têtes de violon), congelées, non préparées",1988-01-01,,11996.0,,5.74,34.0,0.35,1.9,4.31,
2505,2505,11,0,"Potato, flesh and skin, raw","Pomme de terre, chair et pelure, crue",1989-01-01,,11352.0,Solanum tuberosum,17.47,77.0,0.09,1.6,2.02,0.78
2506,2506,11,24,"Potato, boiled, flesh and skin","Pomme de terre, bouille, chair et pelure",1989-01-01,,,,19.87,86.0,0.1,1.6,1.96,0.87
2507,2507,12,0,"Seeds, breadfruit seeds, raw","Graines, fruits à pain, graines, crues",1985-01-01,,12001.0,Artocarpus altilis,29.24,191.0,5.59,5.2,7.4,
2508,2508,12,0,"Seeds, breadfruit seeds, boiled","Graines, fruits à pain, graines, bouillies",1985-01-01,,12003.0,,32.0,168.0,2.3,4.8,5.3,
2509,2509,12,0,"Seeds, breadnuttree seeds, raw","Graines, noix-pain (brosimum dicastrum), graines, crues",1985-01-01,,12004.0,Brosimum alicastrum,46.28,217.0,0.99,,5.97,
2510,2510,12,0,"Seeds, breadnuttree seeds, dried","Graines, noix-pain (brosimum alicastrum), graines, déshydratées",1985-01-01,,12005.0,,79.39,367.0,1.68,14.9,8.62,
2511,2511,12,0,"Seeds, chia seeds, dried","Graines de chia, déshydratées",1985-01-01,,12006.0,Salvia hispanica,42.12,486.0,30.74,34.4,16.54,
2512,2512,12,0,"Seeds, cottonseed flour, partially defatted","Graines, farine de graines de coton, partiellement dégraissées",1985-01-01,,12007.0,,40.54,359.0,6.2,3.0,40.96,
2513,2513,12,0,"Seeds, cottonseed flour, low fat","Graines, farine de graines de coton, faible en gras",1985-01-01,,12008.0,,36.1,332.0,1.41,,49.83,
2514,2514,12,0,"Seeds, cottonseed meal, partially defatted","Graines, semoule de graines de coton, partiellement dégraissées",1985-01-01,,12011.0,,38.43,367.0,4.77,,49.1,
2515,2515,12,0,"Seeds, lotus seeds, dried","Graines, lotus, graines, déshydratées",1985-01-01,,12013.0,,64.47,332.0,1.97,,15.41,
2516,2516,12,0,"Seeds, pumpkin and squash seed kernels, dried","Graines, citrouille et courge, graines, déshydratées",1985-01-01,,12014.0,,10.71,559.0,49.05,6.0,30.23,1.4
2517,2517,12,0,"Seeds, pumpkin and squash seed kernels, roasted","Graines, citrouille et courge, graines, rôties",1985-01-01,,12016.0,,14.71,574.0,49.05,6.5,29.84,1.29
2518,2518,12,0,"Seeds, safflower seed kernels, dried","Graines, carthame, graines, déshydratées",1985-01-01,,12021.0,Carthamus tinctorius,34.29,517.0,38.45,,16.18,
2519,2519,12,0,"Seeds, safflower seed meal, partially defatted","Graines,  semoule de graines de carthame, partiellement dégraissée",1985-01-01,,12022.0,,48.73,342.0,2.39,,35.62,
2521,2521,12,0,"Seeds, sesame seeds, whole, roasted and toasted","Graines, sésame, graines, entières, rôties et grillées",1985-01-01,,12024.0,,25.74,565.0,48.0,14.0,16.96,
2522,2522,12,0,"Seeds, sesame seed kernels, toasted, shelled","Graines, sésame, graines, grillées, décortiquées",1985-01-01,,12029.0,,26.04,567.0,48.0,16.9,16.96,0.48
2523,2523,12,0,"Seeds, sesame flour, partially defatted","Graines, farine de sésame, partiellement dégraissées",1985-01-01,,12032.0,,35.14,382.0,11.89,,40.32,
2524,2524,12,0,"Seeds, sesame flour, low fat","Graines, farine de sésame, faible en gras",1985-01-01,,12033.0,,35.51,333.0,1.75,,50.14,
2525,2525,12,0,"Seeds, sesame meal, partially defatted","Graines, semoule de sésame, partiellement dégraissées",1985-01-01,,12034.0,,26.04,567.0,48.0,,16.96,
2526,2526,12,0,"Seeds, sunflower seed kernels, dried","Graines, tournesol, graines, déshydratées",1985-01-01,,12036.0,Helianthus annuus,20.0,585.0,51.46,8.6,20.78,2.62
2527,2527,12,0,"Seeds, sunflower seed kernels, dry roasted","Graines, tournesol, graines, rôties à sec",1985-01-01,,12037.0,,24.07,582.0,49.8,11.1,19.33,2.73
2528,2528,12,0,"Seeds, sunflower seed kernels, toasted","Graines, tournesol, graines, grillées",1985-01-01,,12039.0,,20.59,619.0,56.8,11.5,17.21,
2529,2529,12,0,"Seeds, sunflower seed butter","Graines, beurre de tournesol",1985-01-01,,12040.0,,23.32,617.0,55.2,5.7,17.28,10.54
2530,2530,12,0,"Seeds, sunflower seed flour, partially defatted","Graines, tournesol, farine, partiellement dégraissée",1985-01-01,,12041.0,,35.83,326.0,1.61,5.2,48.06,
2531,2531,12,0,"Nuts, acorns, raw","Noix, balanes (glands), crues",1985-01-01,,12058.0,Quercus spp.,40.75,387.0,23.86,,6.15,
2532,2532,12,0,"Nuts, acorns, dried","Noix, balanes (glands), séchées",1985-01-01,,12059.0,,53.66,509.0,31.41,,8.1,
2533,2533,12,0,"Nuts, acorn flour, full-fat","Noix, farine de balanes (glands), non dégraissée",1985-01-01,,12060.0,,54.65,501.0,30.17,,7.49,
2534,2534,12,0,"Nuts, almonds, dried, unblanched, unroasted","Noix, amandes, séchées, non blanchies, non rôties",1985-01-01,,12061.0,Prunus dulcis,21.55,579.0,49.93,12.5,21.15,4.35
2535,2535,12,0,"Nuts, almonds, dried, blanched, unroasted","Noix, amandes, séchées, blanchies, non rôties",1985-01-01,,12062.0,,18.67,590.0,52.52,9.9,21.4,4.63
2536,2536,12,0,"Nuts, almonds, dry roasted, unblanched","Noix, amandes, rôties à sec, non blanchies",1985-01-01,,12063.0,,21.01,598.0,52.54,10.9,20.96,4.86
2537,2537,12,0,"Nuts, almonds, oil roasted, unblanched","Noix, amandes, rôties dans l'huile, non blanchies",1985-01-01,,12065.0,,17.68,608.0,55.17,10.5,21.23,4.55
2538,2538,12,30,"Nuts, almonds, oil roasted, blanched","Noix, amandes, rôties dans l'huile, blanchies",1985-01-01,,,,18.02,613.0,56.53,11.2,19.04,
2539,2539,12,30,"Nuts, almonds, toasted, unblanched","Noix, amandes, grillées, non blanchies",1985-01-01,,,,22.91,589.0,50.77,,20.38,
2540,2540,12,0,"Nuts, almond paste, sweetened","Noix, pâte d'amandes, sucrée",1985-01-01,,12071.0,,47.81,458.0,27.74,4.8,9.0,36.25
2543,2543,12,0,"Nuts, beechnuts, dried","Noix, faines, séchées",1985-01-01,,12077.0,Fagus spp.,33.5,576.0,50.0,,6.2,
2544,2544,12,0,"Nuts, brazilnuts, dried, unblanched","Noix, noix de Brésil, séchées, non blanchies",1985-01-01,,12078.0,Bertholletia excelsa,11.74,659.0,67.1,7.5,14.32,2.33
2545,2545,12,0,"Nuts, butternuts (long walnuts), dried","Noix, noix longues (noix cendres), séchées",1985-01-01,,12084.0,Juglans cinerea,12.05,612.0,56.98,4.7,24.9,
2546,2546,12,0,"Nuts, cashew nuts, dry roasted","Noix, noix d'acajou (cajous, anacardes), rôties à sec",1985-01-01,,12085.0,Anacardium occidentale,32.69,574.0,46.35,3.0,15.31,5.01
2547,2547,12,0,"Nuts, cashew nuts, oil roasted","Noix, noix d'acajou (cajous, anacardes), rôties dans l'huile",1985-01-01,,12086.0,,29.87,580.0,47.77,3.3,16.84,5.01
2548,2548,12,0,"Nuts, cashew butter, plain","Noix, beurre d'acajou (cajous, anacardes), nature",1985-01-01,,12088.0,,27.57,587.0,49.41,2.0,17.56,
2549,2549,12,0,"Nuts, Chinese chestnuts, raw","Noix, châtaignes chinoises, crues",1985-01-01,,12093.0,Castanea mollissima,49.07,224.0,1.11,,4.2,
2550,2550,12,0,"Nuts, Chinese chestnuts, dried","Noix, châtaignes chinoises, séchées",1985-01-01,,12094.0,,79.76,363.0,1.81,,6.82,
2551,2551,12,0,"Nuts, Chinese chestnuts, boiled and steamed","Noix, châtaignes chinoises, bouillies et cuites à la vapeur",1985-01-01,,12095.0,,33.64,153.0,0.76,,2.88,
2552,2552,12,0,"Nuts, Chinese chestnuts, roasted","Noix, châtaignes chinoises, rôties",1985-01-01,,12096.0,,52.36,239.0,1.19,,4.48,
2553,2553,12,0,"Nuts, European chestnuts (sweet), raw, unpeeled","Noix, châtaignes d'Europe (marrons), crues, avec l'écorce",1985-01-01,,12097.0,Castanea sativa,45.54,213.0,2.26,8.1,2.42,
2554,2554,12,0,"Nuts, European chestnuts (sweet), raw, peeled","Noix, châtaignes d'Europe (marrons), crues, décortiquées",1985-01-01,,12098.0,,44.17,196.0,1.25,,1.63,
2555,2555,12,0,"Nuts, European chestnuts (sweet), dried, unpeeled","Noix, châtaignes d'Europe (marrons), séchées, avec l'écorce",1985-01-01,,12099.0,,77.31,374.0,4.45,11.7,6.39,
2556,2556,12,0,"Nuts, European chestnuts (sweet), dried, peeled","Noix, châtaignes d'Europe (marrons), séchées, décortiquées",1985-01-01,,12100.0,,78.43,369.0,3.91,,5.01,
2557,2557,12,0,"Nuts, European chestnuts (sweet), boiled and steamed","Noix, châtaignes d'Europe (marrons), bouillies et cuites à la vapeur",1985-01-01,,12101.0,,27.76,131.0,1.38,,2.0,
2558,2558,12,0,"Nuts, coconut meat, raw","Noix, noix de coco, crue",1985-01-01,,12104.0,Cocos nucifera,15.23,354.0,33.49,9.0,3.33,6.23
2559,2559,12,0,"Nuts, coconut meat, desiccated, unsweetened","Noix, noix de coco, désséchée, non sucrée",1985-01-01,,12108.0,,23.65,660.0,64.53,16.3,6.88,7.35
2560,2560,12,0,"Nuts, coconut meat, desiccated, sweetened, flaked, packaged","Noix, noix de coco, désséchée, sucrée, flocons, empaquetée",1985-01-01,,12109.0,,51.85,456.0,27.99,9.9,3.13,36.75
2561,2561,12,0,"Nuts, coconut meat, desiccated, sweetened, flaked, canned","Noix, noix de coco, desséchée, sucrée, flocons, conserve",1985-01-01,,12110.0,,40.91,443.0,31.69,4.5,3.35,
2562,2562,12,0,"Nuts, coconut meat, desiccated, toasted","Noix, noix de coco, désséchée, grillée",1985-01-01,,12114.0,,44.4,592.0,47.0,,5.3,
2563,2563,12,0,"Nuts, coconut cream (liquid from grated meat), raw","Noix, crème de noix de coco (liquide de la noix râpée), crue",1985-01-01,,12115.0,,6.65,330.0,34.68,2.2,3.63,
2564,2564,12,0,"Nuts, coconut cream (liquid from grated meat), sweetened, canned","Noix, crème de noix de coco (liquide de la noix râpée), sucrée, conserve",1985-01-01,,12116.0,,53.21,357.0,16.31,0.2,1.17,51.5
2565,2565,12,0,"Nuts, coconut milk (liquid from grated meat and water), canned","Noix, lait de noix de coco (liquide de la noix râpée et eau), conserve",1985-01-01,,12118.0,,2.81,197.0,21.33,,2.02,
2566,2566,12,0,"Nuts, coconut water (liquid from coconut)","Noix, eau de noix de coco (liquide de la noix)",1985-01-01,,12119.0,,3.71,19.0,0.2,1.1,0.72,2.61
2567,2567,12,0,"Nuts, filberts or hazelnuts, dried","Noix, noisettes, avelines ou coudres, séchées",1985-01-01,,12120.0,Corylus spp.,16.7,629.0,60.75,9.7,14.95,4.34
2568,2568,12,0,"Nuts, filberts or hazelnuts, dried, blanched","Noix, noisettes, avelines ou coudres, séchées, blanchies",1985-01-01,,12121.0,,17.0,629.0,61.15,11.0,13.7,3.49
2569,2569,12,0,"Nuts, filberts or hazelnuts, dry roasted, unblanched","Noix, noisettes, avelines ou coudres, rôties à sec, non blanchies",1985-01-01,,12122.0,,17.6,646.0,62.4,9.4,15.03,4.89
2571,2571,12,0,"Nuts, ginkgo nuts, raw","Noix, fruits de ginkgo, crues",1985-01-01,,12127.0,Ginko biloba,37.6,182.0,1.68,,4.32,
2572,2572,12,0,"Nuts, ginkgo nuts, dried","Noix, fruits de ginkgo, séchées",1985-01-01,,12128.0,,72.45,348.0,2.0,33.4,10.35,
2573,2573,12,0,"Nuts, ginkgo nuts, canned","Noix, fruits de ginkgo, conserve",1985-01-01,,12129.0,,22.1,111.0,1.62,9.3,2.29,
2574,2574,12,0,"Nuts, hickory nuts, dried","Noix, noix de caryers, séchées",1985-01-01,,12130.0,Carya spp.,18.25,657.0,64.37,6.4,12.72,
2575,2575,12,0,"Nuts, macadamia (bushnuts, queensland), raw","Noix, macadamia (queensland), crues",1985-01-01,,12131.0,"Macadamia integrifolia, M. tetraphylla",13.82,718.0,75.77,8.6,7.91,4.57
2576,2576,12,30,"Nuts, macadamia (bushnuts, queensland), oil roasted","Noix, macadamia (queensland), rôties dans l'huile",1985-01-01,,,,12.9,718.0,76.52,9.3,7.26,
2577,2577,12,0,"Nuts, mixed nuts, dry roasted with peanuts","Noix, noix mélangées, rôties à sec avec arachides",1985-01-01,,12135.0,,25.35,594.0,51.45,9.0,17.3,
2578,2578,12,0,"Nuts, mixed nuts, oil roasted with peanuts","Noix, noix mélangées, rôties dans l'huile avec arachides",1985-01-01,,12137.0,,21.05,607.0,53.95,7.0,20.04,4.15
2579,2579,12,0,"Nuts, mixed nuts, oil roasted without peanuts","Noix, noix mélangées, rôties dans l'huile sans arachides",1985-01-01,,12138.0,,22.27,615.0,56.17,5.5,15.52,
2580,2580,16,0,"Soybean kernels, roasted, unsalted","Soya, graines, rôties, sans sel",1985-01-01,,16410.0,,33.55,472.0,25.4,17.7,35.22,4.2
2581,2581,12,0,"Nuts, simulated product, wheat-based, unflavoured, with salt","Noix, simili produit, base de blé, nature, sel ajouté",1985-01-01,,12140.0,,23.68,622.0,57.7,5.2,13.82,
2582,2582,12,0,"Nuts, pecans, dried","Noix, pacanes, séchées",1985-01-01,,12142.0,Carya illinoensis,13.86,691.0,71.97,9.6,9.17,3.97
2583,2583,12,0,"Nuts, pecans, dry roasted","Noix, pacanes, rôties à sec",1985-01-01,,12143.0,,13.55,710.0,74.27,9.4,9.5,4.06
2584,2584,12,0,"Nuts, pecans, oil roasted","Noix, pacanes, rôties dans l'huile",1985-01-01,,12144.0,,13.01,715.0,75.23,9.5,9.2,3.97
2585,2585,12,0,"Nuts, pilinuts-canarytree, dried","Noix, fruits de canarium, séchées",1985-01-01,,12145.0,Canarium ovatum,3.98,719.0,79.55,,10.8,
2586,2586,12,0,"Nuts, pine nuts, pignolia, dried","Noix, noix de pins, pignons (pignes), séchées",1985-01-01,,12147.0,Pinus pinea,13.08,673.0,68.37,3.7,13.69,3.59
2587,2587,12,0,"Nuts, pine nuts, pinyon, dried","Noix, noix de pinus edulis, séchées",1985-01-01,,12149.0,Pinus edulis,19.3,629.0,60.98,10.7,11.57,
2588,2588,12,0,"Nuts, pistachio nuts, dry roasted","Noix, pistaches, rôties à sec",1985-01-01,,12152.0,,29.38,567.0,44.82,9.9,20.95,7.74
2589,2589,12,0,"Nuts, walnuts, black, dried","Noix, noix de noyer noir, séchées",1985-01-01,,12154.0,Juglans nigra,9.58,619.0,59.33,6.8,24.06,1.1
2590,2590,12,0,"Nuts, walnuts, English or Persian, dried","Noix, Grenoble, séchées",1985-01-01,,12155.0,Juglans regia,13.71,655.0,65.21,6.7,15.23,2.61
2591,2591,12,0,"Seeds, breadfruit seeds, roasted","Graines, graines de fruits à pain, rôties",1985-01-01,,12158.0,,40.1,207.0,2.7,6.0,6.2,
2592,2592,12,0,"Seeds, cottonseed kernels, roasted","Graines, coton, graines, rôties",1985-01-01,,12160.0,Gossypium spp.,21.9,506.0,36.29,5.5,32.59,
2593,2593,12,0,"Seeds, sesame butter, tahini, roasted and toasted kernels","Graines, beurre de sésame, tahini, graines rôties et grillées",1985-01-01,,12166.0,,21.19,595.0,53.76,9.3,17.0,0.49
2594,2594,12,0,"Nuts, European chestnuts (sweet), roasted","Noix, châtaignes d'Europe (marrons), rôties",1985-01-01,,12167.0,,52.96,245.0,2.2,5.1,3.17,10.6
2596,2596,12,0,"Seeds, sesame butter, from whole seed, paste","Graines, beurre de sésame, de graines entières, pâte",1985-01-01,,12169.0,,24.05,587.0,50.87,5.5,18.08,
2597,2597,12,0,"Seeds, sesame flour, high-fat","Graines, farine de sésame, élevée en gras",1985-01-01,,12170.0,,26.62,526.0,37.1,,30.78,
2598,2598,12,0,"Seeds, sesame butter, tahini, unroasted kernels","Graines, beurre de sésame, tahini, graines non rôties",1985-01-01,,12171.0,,17.89,607.0,56.44,9.3,17.95,
2599,2599,12,0,"Seeds, watermelon seed kernels, dried","Graines, melon d'eau (pastèque), graines, déshydratées",1985-01-01,,12174.0,Citrullus lanatus,15.31,557.0,47.37,,28.33,
2600,2600,12,0,"Nuts, Japanese chestnuts, dried","Noix, châtaignes japonaises, séchées",1985-01-01,,12175.0,,81.43,360.0,1.24,,5.25,
2601,2601,12,0,"Nuts, coconut milk (liquid from grated meat and water), frozen","Noix, lait de noix de coco (liquide de la noix râpée et eau), congelé",1985-01-01,,12176.0,,5.58,202.0,20.8,,1.61,
2602,2602,12,0,"Nuts, coconut meat, desiccated, creamed","Noix, noix de coco, désséchées, en crème",1985-01-01,,12177.0,,21.52,684.0,69.08,,5.3,
2603,2603,12,0,"Nuts, coconut meat, desiccated, sweetened, shredded","Noix, noix de coco, désséchée, sucrée, filamentée",1985-01-01,,12179.0,,47.67,501.0,35.49,4.5,2.88,43.17
2604,2604,12,0,"Seeds, sisymbrium sp. seeds, whole, dried","Graines, sisymbrium sp., graines, entières, déshydratées",1985-01-01,,12193.0,Sisymbrium spp.,58.26,318.0,4.6,,12.14,
2605,2605,12,0,"Nuts, almond butter, plain","Noix, beurre d'amandes, nature",1985-01-01,,12195.0,,18.82,614.0,55.5,10.3,20.96,4.43
2607,2607,12,30,"Nuts, almond meal, partially defatted","Noix, semoule d'amandes, partiellement dégraissée",1985-01-01,,,,28.9,408.0,18.3,,39.5,
2608,2608,12,0,"Seeds, sesame butter, tahini, from raw and stone ground kernels","Graines, beurre de sésame, tahini, graines crues et moulues à la pierre",1985-01-01,,12198.0,,26.19,570.0,48.0,9.3,17.81,
2610,2610,12,0,"Nuts, simulated product, wheat-based, all flavours except macadamia, without salt","Noix, simili produit, base de blé, toutes les saveurs sauf macadamia, sans sel",1985-01-01,,12200.0,,20.79,647.0,62.3,5.2,13.11,
2611,2611,12,0,"Seeds, sesame seed kernels, dried, shelled","Graines, sésame, graines, déshydratées, décortiquées",1985-01-01,,12201.0,,11.73,631.0,61.21,11.6,20.45,0.48
2612,2612,12,0,"Nuts, Japanese chestnuts, raw","Noix, châtaignes japonaises, crues",1985-01-01,,12202.0,Castanea crenata,34.91,154.0,0.53,,2.25,
2613,2613,12,0,"Nuts, Japanese chestnuts, boiled and steamed","Noix, châtaignes japonaises, bouillies et cuites à la vapeur",1985-01-01,,12203.0,,12.64,56.0,0.19,,0.82,
2614,2614,12,0,"Nuts, Japanese chestnuts, roasted","Noix, châtaignes japonaises, rôties",1985-01-01,,12204.0,,45.13,201.0,0.8,,2.97,
2615,2615,12,0,"Seeds, lotus seeds, raw","Graines, lotus, graines, crues",1985-01-01,,12205.0,Nelumbo spp.,17.28,89.0,0.53,,4.13,
2616,2616,12,0,"Nuts, almonds, honey roasted, unblanched","Noix, amandes, rôties au miel, non blanchies",1994-01-01,,12206.0,,27.9,594.0,49.9,13.7,18.17,
2617,2617,12,0,"Nuts, mixed nuts, dry roasted with peanuts, salted","Noix, noix mélangées, rôties à sec avec arachides, salées",1985-01-01,,12635.0,,25.35,594.0,51.45,9.0,17.3,4.8
2618,2618,12,0,"Nuts, mixed nuts, oil roasted with peanuts, salted","Noix, noix mélangées, rôties dans l'huile avec arachides, salées",1985-01-01,,12637.0,,21.05,607.0,53.95,7.0,20.04,4.15
2619,2619,12,0,"Seeds, pumpkin and squash seed kernels, roasted, salted","Graines, citrouille et courge, graines, rôties, salées",1985-01-01,,12516.0,,14.71,574.0,49.05,6.5,29.84,1.29
2620,2620,12,0,"Seeds, sunflower seed kernels, dry roasted, salted","Graines, tournesol, graines, rôties à sec, salées",1985-01-01,,12537.0,,24.07,582.0,49.8,9.0,19.33,2.73
2621,2621,12,3,"Seeds, sunflower seed kernels, oil roasted, salted","Graines, tournesol, graines, rôties dans l'huile, salées",1985-01-01,,12538.0,,22.89,592.0,51.3,8.9,20.06,3.11
2622,2622,12,0,"Seeds, sunflower seed kernels, toasted, salted","Graines, tournesol, graines, grillées, salées",1985-01-01,,12539.0,,20.59,619.0,56.8,11.5,17.21,
2623,2623,12,0,"Seeds, sunflower seed butter, salted","Graines, beurre de tournesol, salé",1985-01-01,,12540.0,,23.32,617.0,55.2,5.7,17.28,10.54
2624,2624,12,0,"Nuts, almonds, dry roasted, unblanched, salted","Noix, amandes, rôties à sec, non blanchies, salées",1985-01-01,,12563.0,,21.01,598.0,52.54,10.9,20.96,4.86
2625,2625,12,0,"Nuts, almonds, oil roasted, unblanched, salted","Noix, amandes, rôties dans l'huile, non blanchies, salées",1985-01-01,,12565.0,,17.68,608.0,55.17,10.5,21.23,4.55
2626,2626,12,30,"Nuts, almonds, oil roasted, blanched, salted","Noix, amandes, rôties dans l'huile, blanchies, salées",1985-01-01,,,,18.02,613.0,56.53,11.2,19.04,
2627,2627,12,0,"Nuts, cashew nuts, dry roasted, salted","Noix, noix d'acajou (cajous, anacardes), rôties à sec, salées",1985-01-01,,12585.0,,32.69,574.0,46.35,3.0,15.31,5.01
2628,2628,12,0,"Nuts, cashew nuts, oil roasted, salted","Noix, noix d'acajou (cajous, anacardes), rôties dans l'huile, salées",1985-01-01,,12586.0,,30.16,581.0,47.77,3.3,16.84,5.01
2629,2629,12,0,"Nuts, cashew butter, plain, salted","Noix, beurre de noix d'acajou (cajous, anacardes), nature, salé",1985-01-01,,12588.0,,30.3,609.0,53.03,3.0,12.12,9.09
2632,2632,12,30,"Nuts, macadamia (bushnuts, queensland), oil roasted, salted","Noix, macadamia (queensland), rôties dans l'huile, salées",1985-01-01,,,,12.9,718.0,76.52,9.3,7.26,
2633,2633,12,0,"Nuts, mixed nuts, oil roasted without peanuts, salted","Noix, noix mélangées, rôties dans l'huile sans arachides, salées",1985-01-01,,12638.0,,22.27,615.0,56.17,5.5,15.52,4.38
2635,2635,12,0,"Nuts, pecans, dry roasted, salted","Noix, pacanes, rôties à sec, salées",1985-01-01,,12643.0,,13.55,710.0,74.27,9.4,9.5,4.06
2636,2636,12,0,"Nuts, pecans, oil roasted, salted","Noix, pacanes, rôties dans l'huile, salées",1985-01-01,,12644.0,,13.01,715.0,75.23,9.5,9.2,3.97
2637,2637,12,0,"Nuts, pistachio nuts, dry roasted, salted","Noix, pistaches, rôties à sec, salées",1985-01-01,,12652.0,,28.66,564.0,44.82,9.9,20.95,7.74
2638,2638,12,3,"Seeds, pumpkin and squash seeds, whole, roasted, salted","Graines, citrouille et courge, graines, entières, rôties, salées",1985-01-01,,12663.0,,53.75,446.0,19.4,18.4,18.55,
2639,2639,12,0,"Nuts, almond butter, plain, salted","Noix, beurre d'amandes, nature, salé",1985-01-01,,12695.0,,18.82,614.0,55.5,10.3,20.96,6.27
2640,2640,12,30,"Nuts, almond butter, honey and cinnamon, salted","Noix, beurre d'amandes, miel et cannelle, salé",1985-01-01,,,,26.97,602.0,52.2,3.7,15.83,
2641,2641,12,30,"Nuts, almond meal, partially defatted, salted","Noix, semoule d'amandes, partiellement dégraissées, salées",1985-01-01,,,,28.9,408.0,18.3,,39.5,
2642,2642,12,3,"Seeds, sunflower seed kernels, oil roasted","Graines, tournesol, graines, rôties dans l'huile",1985-01-01,,12038.0,,22.89,592.0,51.3,8.9,20.06,3.11
2643,2643,12,3,"Nuts, coconut milk (liquid from grated meat and water), raw","Noix, lait de noix de coco (liquide de la noix râpée et eau), cru",1985-01-01,,12117.0,,5.54,230.0,23.84,1.0,2.29,3.34
2644,2644,12,3,"Nuts, pistachio nuts, raw","Noix, pistaches, crues",1985-01-01,,12151.0,Pistacia vera,27.51,562.0,45.39,8.8,20.27,7.66
